date,all - actual,all - trend,all - seasonal,larceny - actual,larceny - trend,larceny - seasonal
2013-05-13,24,24.120547945205498,1.7741739595239299,9.0,7.23835616438356,-0.162582780327198
2013-05-14,18,24.120547945205498,0.138308455165274,2.0,7.249315068493151,-0.257227861273649
2013-05-15,24,24.134246575342498,-0.402413836241949,10.0,7.24109589041096,1.5577160988757899
2013-05-16,27,24.1013698630137,0.9599771973819621,5.0,7.24109589041096,-0.806418396765554
2013-05-17,21,24.0794520547945,-1.13192815753709,5.0,7.23835616438356,-0.259967587301046
2013-05-18,26,24.030136986301397,-2.2230863144486697,8.0,7.227397260273969,-0.0796438014978084
2013-05-19,26,23.997260273972604,-3.2268223044860296,8.0,7.224657534246581,0.647379859772429
2013-05-20,24,24.0191780821918,-0.31847859340259493,5.0,7.232876712328769,-1.9889837765912102
2013-05-21,28,24.027397260274,1.59310297571322,9.0,7.227397260273969,-0.5351855200532251
2013-05-22,21,23.989041095890396,-1.5000477092182902,8.0,7.197260273972599,0.28349443013357395
2013-05-23,24,23.923287671232902,2.76919263947412,10.0,7.18630136986301,0.19158907521452104
2013-05-24,33,23.9315068493151,-1.3209692534275,7.0,7.1780821917808195,0.0986874562855051
2013-05-25,22,23.909589041095902,0.13183273910051801,7.0,7.18356164383562,-0.9947122946484921
2013-05-26,37,23.9452054794521,1.40605440784273,10.0,7.2,2.09395520223818
2013-05-27,27,23.9671232876713,5.4043109458253005,8.0,7.21643835616438,-0.543404698135416
2013-05-28,20,23.9534246575343,1.4899896506820902,4.0,7.2136986301369905,0.8197335334959659
2013-05-29,20,23.9506849315069,-0.9660501998783109,10.0,7.191780821917809,2.36493901294802
2013-05-30,21,23.8849315068493,1.6683209084654,6.0,7.1945205479452,-0.999942680700796
2013-05-31,24,23.9123287671233,4.490985914692049,13.0,7.1945205479452,-0.184749654548865
2013-06-01,46,23.893150684931502,4.6738003605201905,15.0,7.1945205479452,0.17614698306010101
2013-06-02,28,23.893150684931502,-1.4195993904138002,8.0,7.1753424657534195,0.447130793769939
2013-06-03,23,23.879452054794502,3.0319572721017702,5.0,7.18904109589041,-1.55535986625497
2013-06-04,25,23.887671232876702,0.940550049187694,11.0,7.191780821917809,0.988849349187125
2013-06-05,26,23.9068493150685,-0.15359689975377402,9.0,7.1945205479452,-1.1929688326310601
2013-06-06,14,23.8986301369863,-0.517980461397611,4.0,7.18356164383562,0.35248571282348795
2013-06-07,23,23.901369863013702,-0.9735221799530279,7.0,7.1945205479452,-1.1949613606509801
2013-06-08,24,23.8904109589041,0.386876325650956,5.0,7.2082191780821905,0.34899878878861895
2013-06-09,13,23.882191780821902,-3.70776875529549,3.0,7.21643835616438,-0.19770108667838
2013-06-10,23,23.879452054794502,2.8394292521764903,5.0,7.230136986301369,-0.289855507599924
2013-06-11,24,23.8602739726028,0.47604195454261294,4.0,7.219178082191781,-0.20019174670328602
2013-06-12,18,23.7945205479452,-1.43728307659064,5.0,7.2,-1.10978078779918
2013-06-13,22,23.7698630136986,-2.44027186862053,5.0,7.2,0.252859311827224
2013-06-14,41,23.7945205479452,0.291484046697034,11.0,7.2,0.43517562565038703
2013-06-15,26,23.772602739726,-0.79992317621704,8.0,7.1945205479452,1.34302120472884
2013-06-16,20,23.7342465753425,-0.530433761522145,2.0,7.219178082191781,0.525088452549515
2013-06-17,17,23.7589041095891,1.37566835553888,10.0,7.227397260273969,-0.0208642249100117
2013-06-18,23,23.7506849315069,2.918881306971,10.0,7.227397260273969,0.887479486173425
2013-06-19,30,23.7452054794521,2.19235577770575,13.0,7.23561643835616,0.5223487265221181
2013-06-20,19,23.761643835616496,0.8312100740942919,5.0,7.23287671232876,1.06730513997168
2013-06-21,34,23.7534246575343,-1.07588830697669,8.0,7.23561643835616,-0.478647537487844
2013-06-22,28,23.747945205479496,1.1950955037331499,10.0,7.23561643835616,1.88523789215101
2013-06-23,24,23.7260273972603,2.4648339844305296,9.0,7.23835616438356,2.1574670328733
2013-06-24,25,23.7397260273973,0.915145316933645,7.0,7.243835616438349,2.1569689008683204
2013-06-25,26,23.789041095890397,3.1908613816908105,12.0,7.232876712328769,1.24737985977243
2013-06-26,41,23.7945205479452,2.46782277646042,15.0,7.243835616438349,2.24488919974752
2013-06-27,22,23.802739726027397,0.4693171724753629,4.0,7.254794520547941,-0.299070949692079
2013-06-28,28,23.8602739726028,0.5604753293869449,6.0,7.254794520547941,-0.4828816595301861
2013-06-29,24,23.863013698630198,1.19434830572568,14.0,7.254794520547941,-0.39022910660366
2013-06-30,21,23.8356164383562,6.37004361498263,5.0,7.25753424657534,2.42446578754329
2013-07-01,31,23.8520547945206,3.5485824277680202,11.0,7.25753424657534,0.513631416434945
2013-07-02,40,23.863013698630198,5.37871941406938,12.0,7.279452054794519,0.784117095139802
2013-07-03,34,23.816438356164397,4.13100251909222,9.0,7.29041095890411,2.05759156587455
2013-07-04,35,23.8383561643836,1.2960710122428998,7.0,7.2931506849315095,0.511887954417511
2013-07-05,27,23.854794520548,0.29812580676344896,6.0,7.30684931506849,0.238662549685256
2013-07-06,27,23.8849315068493,-1.20278743524568,6.0,7.30958904109589,1.2386625496852601
2013-07-07,33,23.9041095890411,2.6310025190922097,10.0,7.30684931506849,0.51188795441751
2013-07-08,21,23.8986301369863,-1.20598378227765,9.0,7.295890410958901,0.14725532677118397
2013-07-09,18,23.895890410958902,-1.95689702428678,5.0,7.295890410958901,-0.579519268496562
2013-07-10,24,23.873972602739702,1.5421897337040902,9.0,7.2931506849315095,-0.37673803146875
2013-07-11,19,23.8630136986301,-2.5400020471178304,4.0,7.27671232876712,-0.7952311821536809
2013-07-12,31,23.8465753424658,0.20748653735705302,8.0,7.279452054794519,0.37143548451298497
2013-07-13,32,23.865753424657502,1.4606828843890198,8.0,7.282191780821919,-1.04705766617195
2013-07-14,20,23.865753424657502,-1.5402303576201102,5.0,7.295890410958901,0.8691523794901541
2013-07-15,22,23.879452054794502,0.62552306703742,8.0,7.295890410958901,-0.6315325520166949
2013-07-16,22,23.873972602739702,0.458856400370754,10.0,7.30958904109589,0.0321660781202909
2013-07-17,26,23.887671232876702,1.79150480219724,10.0,7.2986301369863,0.6983761237823921
2013-07-18,25,23.893150684931502,-0.29137191013153,5.0,7.29041095890411,-0.136555383066923
2013-07-19,29,23.909589041095902,0.626436309046553,11.0,7.2986301369863,0.86367292743536
2013-07-20,25,23.909589041095902,0.8771212405534029,7.0,7.2849315068493095,0.9447231557458621
2013-07-21,18,23.895890410958902,1.29310297571322,3.0,7.2849315068493095,0.0278281785769123
2013-07-22,33,23.9041095890411,2.8759796880419906,12.0,7.282191780821919,1.52782817857691
2013-07-23,22,23.887671232876702,0.4593130213753211,5.0,7.265753424657531,-0.0543636022450055
2013-07-24,35,23.865753424657502,3.62369658301916,13.0,7.271232876712331,1.365437144953
2013-07-25,33,23.887671232876702,1.04218973370409,8.0,7.279452054794519,1.18312083112984
2013-07-26,28,23.9260273972603,1.8778061720602501,9.0,7.26849315068493,2.45584810385711
2013-07-27,34,23.895890410958902,1.37940434557623,13.0,7.26849315068493,1.27378085603644
2013-07-28,27,23.893150684931502,1.38237238210592,6.0,7.24109589041096,0.637915351677785
2013-07-29,28,23.871232876712302,4.08924245267462,6.0,7.230136986301369,2.45659530186458
2013-07-30,29,23.882191780821902,4.36271692340936,7.0,7.22465753424657,1.365437144953
2013-07-31,17,23.871232876712302,3.452380684306,10.0,7.230136986301369,1.0027970453266
2013-08-01,30,23.8986301369863,5.735319663135389,12.0,7.227397260273969,1.00229891332162
2013-08-02,33,23.9123287671233,3.37118516749404,7.0,7.21643835616438,1.9096463603951002
2013-08-03,34,23.887671232876702,2.5542486793246804,11.0,7.1945205479452,0.9998082532967141
2013-08-04,23,23.8246575342466,0.6431652422138461,8.0,7.16986301369863,1.90640850236272
2013-08-05,19,23.830136986301397,1.45885640037076,8.0,7.16986301369863,0.177890445077537
2013-08-06,25,23.8465753424658,4.641421780196411,6.0,7.1780821917808195,1.81201248741876
2013-08-07,22,23.8630136986301,0.6404255161864469,8.0,7.1808219178082195,0.631439635613028
2013-08-08,23,23.873972602739702,3.18513286363352,8.0,7.1945205479452,-0.642283901124207
2013-08-09,32,23.868493150684902,0.639678318178975,9.0,7.2027397260273895,1.9928344052269797
2013-08-10,23,23.909589041095902,0.0982088287642803,9.0,7.21095890410959,0.9004309183029409
2013-08-11,20,23.936986301369902,-0.0836093530539009,8.0,7.2082191780821905,1.44389293573756
2013-08-12,20,23.9123287671233,4.0080469358626605,9.0,7.2,1.0770187140688199
2013-08-13,25,23.9452054794521,3.3729286295114798,7.0,7.2,0.25659530186458496
2013-08-14,22,23.9342465753425,2.0085450678676398,7.0,7.22191780821918,0.25609716985960396
2013-08-15,22,23.961643835616396,-1.3535968997537802,7.0,7.22191780821918,1.9823736331223702
2013-08-16,19,23.9643835616438,-0.533671619554524,8.0,7.219178082191781,1.25460277384466
2013-08-17,26,23.9479452054795,-1.25994808281729,5.0,7.21643835616438,0.618488203483513
2013-08-18,21,23.9342465753425,3.0127791899099905,7.0,7.197260273972599,1.4369190876678202
2013-08-19,19,23.9068493150685,1.8317082060992802,8.0,7.18630136986301,0.255100905849641
2013-08-20,34,23.9315068493151,2.9243607590257996,15.0,7.18904109589041,2.16244835292311
2013-08-21,28,23.928767123287695,0.923613561018328,5.0,7.16986301369863,1.16170115491564
2013-08-22,22,23.9479452054794,-2.1662992658808,8.0,7.1780821917808195,2.79856292328426
2013-08-23,29,23.975342465753396,0.285506462637258,7.0,7.164383561643831,0.16070489090568
2013-08-24,28,23.983561643835603,-0.25895181880732504,11.0,7.16986301369863,0.161701154915643
2013-08-25,20,23.997260273972604,-0.43952467061305395,9.0,7.172602739726031,0.704914106347773
2013-08-26,14,24.027397260274,-0.621342852431236,4.0,7.1753424657534195,0.704665040345282
2013-08-27,31,24.0,0.468819040470384,8.0,7.1753424657534195,1.6130087514287201
2013-08-28,24,24.010958904109604,0.924360759025801,6.0,7.1780821917808195,0.7034197103328289
2013-08-29,26,24.0191780821918,2.6543732123259303,9.0,7.167123287671231,1.61201248741876
2013-08-30,21,23.972602739726,3.7467766992499603,5.0,7.158904109589041,0.0648144799467759
2013-08-31,37,23.961643835616396,3.9308364750905604,17.0,7.139726027397259,2.06481447994678
2013-09-01,35,23.9342465753425,7.3838875336210705,13.0,7.14246575342466,3.3372926866715598
2013-09-02,29,23.9397260273972,3.92759861705818,10.0,7.12602739726027,0.7910909432095401
2013-09-03,21,23.928767123287695,-0.43304895454829606,4.0,7.11780821917808,0.5181146044797771
2013-09-04,37,23.923287671232902,1.9313346070955402,6.0,7.12328767123288,-0.39022910660366
2013-09-05,22,23.9397260273973,3.93457246512792,5.0,7.12876712328767,0.881750968116141
2013-09-06,36,23.956164383561603,1.20729973785519,12.0,7.12876712328767,0.0623238199218691
2013-09-07,23,23.928767123287695,2.66408678642306,8.0,7.120547945205481,2.06107848990942
2013-09-08,19,23.901369863013702,2.3911104476933,8.0,7.11232876712329,0.33355669663419796
2013-09-09,23,23.893150684931502,2.11888130697101,11.0,7.134246575342469,1.78660775516471
2013-09-10,18,23.923287671232902,2.48301580261235,7.0,7.13698630136986,0.513880482437436
2013-09-11,29,23.868493150684902,2.48376300061982,7.0,7.13698630136986,0.513133284429964
2013-09-12,24,23.8520547945205,1.2130282559124699,7.0,7.139726027397259,1.05858782988451
2013-09-13,41,23.843835616438398,1.9412972471951597,13.0,7.120547945205481,1.32982070659684
2013-09-14,23,23.8465753424657,1.03195727210177,10.0,7.13698630136986,0.5101444924000771
2013-09-15,28,23.8383561643836,1.48650272664722,11.0,7.12602739726027,3.23691908766782
2013-09-16,26,23.8054794520548,0.5736758275189511,8.0,7.139726027397259,0.8730336580289679
2013-09-17,21,23.8109589041096,-0.33591321357693893,9.0,7.1506849315068495,-0.309282655794195
2013-09-18,27,23.8328767123288,0.758731867369512,10.0,7.14794520547945,1.05559903785462
2013-09-19,24,23.8575342465753,0.306677072848963,5.0,7.161643835616441,-0.0345628550469967
2013-09-20,23,23.887671232876702,-2.14712118368902,8.0,7.17260273972602,0.0548518398471503
2013-09-21,26,23.8438356164383,-3.41511620236897,10.0,7.153424657534241,0.6003063853016961
2013-09-22,29,23.841095890411,-0.7767600379854059,11.0,7.145205479452049,1.32708098056944
2013-09-23,11,23.7808219178082,-1.23006016251841,2.0,7.14794520547945,-0.6744134154455022
2013-09-24,17,23.7972602739726,2.5893669856758597,2.0,7.158904109589041,-0.12846073798597601
2013-09-25,21,23.7808219178082,-1.4088895523067,8.0,7.16164383561643,-0.6741643494430121
2013-09-26,24,23.8054794520548,0.0476484302586779,5.0,7.167123287671231,-0.0375516470768852
2013-09-27,27,23.802739726027397,0.685008330632276,12.0,7.14246575342465,0.41699380746856896
2013-09-28,30,23.7808219178082,-0.67588830697669,8.0,7.120547945205481,0.32658284856446
2013-09-29,21,23.7671232876712,2.4180095759622904,4.0,7.112328767123281,0.23542469165287805
2013-09-30,23,23.786301369863,4.59783522976054,9.0,7.106849315068491,-0.765073440352104
2013-10-01,35,23.758904109589,4.4150207839324,9.0,7.0904109589041,0.235673757655369
2013-10-02,18,23.7123287671233,4.68550646263726,4.0,7.07123287671232,-0.9471406881727759
2013-10-03,23,23.7123287671233,-1.22184098443622,9.0,7.06301369863013,-0.21936982889506698
2013-10-04,28,23.7068493150685,0.781895005601145,6.0,7.054794520547941,-0.946642556167794
2013-10-05,28,23.6684931506849,-2.0350414825682197,7.0,7.060273972602731,1.23368122963544
2013-10-06,24,23.687671232876703,-1.1239580454573899,8.0,7.054794520547941,0.142772138726353
2013-10-07,27,23.693150684931503,-1.6699107229169101,12.0,7.060273972602731,0.6869813541684449
2013-10-08,18,23.6849315068493,0.51240559090625,5.0,7.08219178082191,-0.131200464013374
2013-10-09,20,23.7260273972603,-1.0330489545483001,7.0,7.0684931506849304,0.687230420170935
2013-10-10,17,23.7041095890411,-1.9421398636392,3.0,7.05205479452054,-1.6781494054828603
2013-10-11,28,23.6767123287671,-3.39444372416224,11.0,7.04109589041095,0.32010713249970196
2013-10-12,23,23.687671232876703,0.700699488789188,3.0,7.054794520547941,0.227703645575667
2013-10-13,28,23.673972602739703,-0.11548980137270501,11.0,7.049315068493151,0.0446401337450324
2013-10-14,17,23.687671232876703,1.70119762079417,5.0,7.060273972602731,-1.04701615517153
2013-10-15,28,23.679452054794503,0.154497745327171,10.0,7.05205479452054,-0.7772776744741461
2013-10-16,24,23.693150684931503,-1.02358444645365,5.0,7.049315068493151,-1.77752674047664
2013-10-17,21,23.693150684931503,-2.75235156974132,4.0,7.049315068493151,-0.0507521452088906
2013-10-18,34,23.7205479452055,1.61327732191497,14.0,7.0383561643835595,0.403046111329092
2013-10-19,22,23.7232876712329,-0.930682827524634,10.0,7.0383561643835595,-0.6901045736024151
